route_id,service_id,trip_id,shape_id
5530,1,5530_18_04,
5530,1,5530_11_46,
5530,1,5530_18_40,
5530,1,5530_17_36,
5530,1,5530_21_34,
5530,1,5530_08_57,
5530,1,5530_15_44,
5530,1,5530_11_17,
5530,1,5530_12_30,
5530,1,5530_14_02,
5530,1,5530_14_55,
5530,1,5530_13_00,
5530,1,5530_08_52,
5530,1,5530_20_24,
5530,1,5530_19_18,
5530,1,5530_20_00,
5530,1,5530_19_36,
5530,1,5530_14_48,
5530,1,5530_07_35,
5530,1,5530_22_06,
5530,1,5530_10_08,
5530,1,5530_08_30,
5530,1,5530_10_27,
5530,1,5530_08_00,
5530,1,5530_08_51,
5530,1,5530_16_23,
5530,1,5530_22_40,
5530,1,5530_11_26,
5530,1,5530_11_31,
5530,1,5530_07_48,
5530,1,5530_19_00,
5530,1,5530_08_16,
5530,1,5530_17_25,
5530,1,5530_10_50,
5530,1,5530_21_20,
5530,1,5530_13_15,
5530,1,5530_21_48,
5530,1,5530_17_50,
5530,1,5530_06_46,
5530,1,5530_19_53,
5530,1,5530_12_35,
5530,1,5530_15_01,
5530,1,5530_10_15,
5530,1,5530_17_29,
5530,1,5530_16_16,
5530,1,5530_06_24,
5530,1,5530_07_20,
5530,1,5530_16_58,
5530,1,5530_19_45,
5530,1,5530_12_15,
5530,1,5530_14_43,
5530,1,5530_19_10,
5530,1,5530_13_30,
5530,1,5530_07_00,
5530,1,5530_08_25,
5530,1,5530_21_18,
5530,1,5530_21_55,
5530,1,5530_15_54,
5530,1,5530_20_05,
5530,1,5530_21_15,
5530,1,5530_10_45,
5530,1,5530_16_12,
5530,1,5530_20_09,
5530,1,5530_09_35,
5530,1,5530_18_10,
5530,1,5530_11_54,
5530,1,5530_22_45,
5530,1,5530_09_20,
5530,1,5530_21_02,
5530,1,5530_18_43,
5530,1,5530_21_12,
5530,1,5530_15_35,
5530,1,5530_20_50,
5530,1,5530_18_24,
5530,1,5530_14_15,
5530,1,5530_09_30,
5530,1,5530_11_40,
5530,1,5530_11_36,
5530,1,5530_09_16,
5530,1,5530_17_21,
5530,1,5530_09_06,
5530,1,5530_17_45,
5530,1,5530_13_58,
5530,1,5530_21_30,
5530,1,5530_07_45,
